title,company,location,how_old,link
Desenvolvedor(a),ETHO SOLUÇÕES,"São Paulo, SP",Postedhá 8 dias,https://br.indeed.com/rc/clk?jk=00cb40d198ef6726&fccid=07d1f89348fbfbd8&vjs=3
Especialista Programador(a) em Python,DATAB,"São Caetano do Sul, SP",Postedhá 26 dias,https://br.indeed.com/rc/clk?jk=605d7221d9c2d0d3&fccid=9dea647c646e3417&vjs=3
Desenvolvedor de Software - Ansible/Python,IBM,"Hortolândia, SP",Postedhá 13 dias,https://br.indeed.com/rc/clk?jk=ebc36712907f97c4&fccid=de71a49b535e21cb&vjs=3
Estagiário de Dados,Safira Energia,"Home office in Barueri, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=19709359731ca7f9&fccid=0a1e124cc7a25f07&vjs=3
Estágio Tech - Desenvolvimento de Software,Nelogica,Home office,Postedhá 12 dias,https://br.indeed.com/rc/clk?jk=3f9022407a9a41c5&fccid=77ba1b798934a18f&vjs=3
Desenvolvedor,Vem ser Ourofino Agrociência!,"Home office in Ribeirão Preto, SP",Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=0f4d4554b2ce1dc5&fccid=dd616958bd9ddc12&vjs=3
Analista de Dados (Ciência de Dados),Central Ailos,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=11e7a9eb274c5b5f&fccid=a7d861d970e4c83c&vjs=3
Assistente de Atendimento - Suporte Técnico,Cobli,Home office,Postedhá 19 dias,https://br.indeed.com/rc/clk?jk=372c1a8b6fe691af&fccid=a793438efc260ec2&vjs=3
Desenvolvedor de Sistemas III (Front-end e Back-end) - Berrini SP,Atento TI,,Postedhá 2 dias,https://br.indeed.com/rc/clk?jk=2343e4cbb3befa28&fccid=f8203c63aa034166&vjs=3
Auxiliar Desenvolvedor Python,DOMINGUES E PINHO CONTADORES,"Rio de Janeiro, RJ",Postedhá 4 dias,https://br.indeed.com/rc/clk?jk=041ba06cce73b7e4&fccid=efe676b413a89a68&vjs=3
Pessoa Analista JR - Desenvolvedora,Linx,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=13e5f093dc34b995&fccid=ac98fd0da84f31d4&vjs=3
Anl Tec e Operações Senior (Python e JavaScript),Santander Brasil,"São Paulo, SP",Postedhá 21 dias,https://br.indeed.com/rc/clk?jk=7263957ab93b3ae3&fccid=e57a47a3d1d90e39&vjs=3
Estágio em Eletrônica,Atman Systems,"Hybrid remote in Vitória, ES",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=90444ced60aef353&fccid=d6703284d4d7c15b&vjs=3
Analista de Integrações Tecnologia,Carreiras Hospital Care,Home office,Postedhá 1 dia,https://br.indeed.com/rc/clk?jk=ee1fe5e4946b52f9&fccid=221a7d2050a8be7a&vjs=3
Estágio em Engenharia de Dados para Mulheres no Instituto Health Lake,Dadosfera,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=b70143201275c463&fccid=902a286d3fc8fe48&vjs=3
Cyber Security Intern,Atlas Governance,Home office,Postedhá 4 dias,https://br.indeed.com/rc/clk?jk=2007f5658e3c8bb0&fccid=6b24ff35a6d4705f&vjs=3
Desenvolvedor(a) Python - Remoto,Supera Tecnologia,Home office,Postedhá 28 dias,https://br.indeed.com/rc/clk?jk=c38e78e57d493372&fccid=19e5782eb7a75943&vjs=3
Engenheiro(a) de Dados,MESHA TECNOLOGIA,"Hybrid remote in Maceió, AL",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=872a4cd127231371&fccid=b40edd3944d0c8d7&vjs=3
Cientista de Dados,A3Data,,Postedhá 11 dias,https://br.indeed.com/rc/clk?jk=d9c7f09eddce5d5f&fccid=da9a0f944ccb7f3b&vjs=3
Desenvolvedor Python SR,Luby Software,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=1285657ac2b87b27&fccid=5b605415b403a24b&vjs=3
BACK-END PYTHON DEVELOPER,Bluestorm Software,"Ribeirão Preto, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=870e6ab1df1f2c80&fccid=e231d2c2b5d748f4&vjs=3
Data Engineer,Johnson & Johnson,"São Paulo, SP",PostedHoje,https://br.indeed.com/rc/clk?jk=1dd0a684ecf08098&fccid=0bed8e17bc113980&vjs=3
Intern- SEG4,ST Engineering iDirect,"São Paulo, SP",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=bf890449a595e363&fccid=52c45c5d49facc96&vjs=3
Estágio em Planejamento Urbano (Performance),tembici.,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=6090c0814f3e4c17&fccid=90220ad0f8ca290d&vjs=3
Estagiário de Eletrônica - Engenharia Eletrônica ou Computação,Inlog,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=5f6e8914acb61d1c&fccid=d262e0159e479add&vjs=3
Desenvolvedor(a) Python Pleno,Confitec,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=f0e6b350d8266778&fccid=f2cb8b67f96e9c2e&vjs=3
Analista de Eletrônica,Atman Systems,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=03a396dd25916338&fccid=d6703284d4d7c15b&vjs=3
Desenvolvedor(a) Python Pleno,Não encontrada,,Postedhá 15 dias,https://br.indeed.com/rc/clk?jk=162148c05f2e4b4c&fccid=dd616958bd9ddc12&vjs=3
Cientista de Dados | Florianópolis,Unicred SC/PR,"Hybrid remote in Florianópolis, SC",Postedhá 21 dias,https://br.indeed.com/rc/clk?jk=4fd5dcefa4bab6ad&fccid=6f9aff6095fa58d3&vjs=3
Estagiário de Ciência de Dados,marketdata,"Home office in São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=de3d0716bc5a7275&fccid=ca2e77e50230049f&vjs=3
Desenvolvedor(a) Python pleno (remoto),GeekHunter,"Home office in São Paulo, SP",Postedhá 5 dias,https://br.indeed.com/rc/clk?jk=32b78690d0fc5d5b&fccid=9ba8dec3013c0c90&vjs=3
Estagiário de Ciência da Computação,Só Reparos,"Brasília, DF",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=76778a84a18afd15&fccid=0d6d141483415c78&vjs=3
Analista de Negócios Pleno | Crédito PF,PicPay,Home office,Postedhá 7 dias,https://br.indeed.com/rc/clk?jk=da5854f0a906b321&fccid=c031daea3b1126ba&vjs=3
Especialista de Dados | Growth,Lojas Renner,Home office,Postedhá 19 dias,https://br.indeed.com/rc/clk?jk=1f006cb7bd3966d2&fccid=0421650f9c724b35&vjs=3
Pessoa desenvolvedora Back-End Python,Pmweb,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=0ca68a438acafb4e&fccid=d5d176aad6a537a0&vjs=3
0737 - Desenvolvedor de Sistemas JR - Pato Branco/PR,Sicredi,"Pato Branco, PR",Postedhá 22 dias,https://br.indeed.com/rc/clk?jk=1dab4718e5591df2&fccid=0bedb393cb03c383&vjs=3
Analista de Modelagem Estatística (Crédito) | REALIZE,REALIZE CFI,Home office,Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=659b95f5bf5a3735&fccid=e4bcb81ca9203d45&vjs=3
"Python Backend Software Engineer, Brazil, Remote",Andela - Third Party Job Board Only Postings,"Home office in Brasília, DF",Postedhá 30+ dias,https://br.indeed.com/rc/clk?jk=3af523dcd7be82d4&fccid=f783f8fbbe72c927&vjs=3
Desenvolvedor Python,Divulga Vagas,"Blumenau, SC",Postedhá 3 dias,https://br.indeed.com/rc/clk?jk=d5731f96e9969801&fccid=1abbffd7f44ec1e9&vjs=3
Cientista de Dados SR,uisa,"Nova Olímpia, MT",PostedHoje,https://br.indeed.com/rc/clk?jk=8bb5c6d116285953&fccid=b0e32f9fad31e885&vjs=3
